f_ik	Lower Level i  Conf., Term, J			Upper Level k  Conf., Term, J				
	5s6p	3P	1	5s7d	1D	2		
	5s6p	3P	2	5s7d	3D	3		
	5s6p	3P	2	5s7d	3D	2		
	5s5d	3D	3	5s6f	3F	4		
	5s6p	1P	1	5s7d	1D	2		
	4d5p	3P	1	4d2	3P	2		
	4d5p	3P	2	4d2	3P	2		
	5s6p	3P	1	5s8s	3S	1		
2.80E-02	5s5d	1D	2	5s5f	1F	3		
	5s6p	3P	2	5s8s	3S	1		
1.70E-02	5s5d	1D	2	4d5p	1P	1		
	5s5d	3D	1	5s5f	3F	2		
	5s5d	3D	2	5s5f	3F	3		
	5s5d	3D	2	5s5f	3F	2		
	5s5d	3D	3	5s5f	3F	4		
	5s5d	3D	3	5s5f	3F	3		
	4d5p	1D	2	5s6d	3D	3		
	4d5p	1D	2	5s6d	3D	2		
	5s6p	3P	0	5s6d	3D	1		
	5s6p	3P	1	5s6d	3D	2		
	5s6p	3P	1	5s6d	3D	1		
	5s6p	3P	2	5s6d	3D	3		
	5s6p	3P	2	5s6d	3D	2		
	5s5p	3P	1	5s4d	1D	2		
	5s6p	1P	1	5s6d	1D	2		
	5s6s	3S	1	5s6p	1P	1		
	5s6s	3S	1	5s6p	3P	2		
	5s6s	3S	1	5s6p	3P	1		
	5s6s	3S	1	5s6p	3P	0		
3.50E-01	5s5d	1D	2	5s4f	1F	3		
	5s6s	3S	1	4d5p	1D	2		
0.088	5s5p	3P	0	5s4d	3D	1		
	5s6s	3S	1	5s6p	3P	2		
	5s6s	3S	1	5s6p	3P	1		
	5s6s	3S	1	5s6p	3P	0		
3.50E-01	5s5d	1D	2	5s4f	1F	3		
	5s6s	3S	1	4d5p	1D	2		
0.1122018454	5s5p	3P	0	5s4d	3D	1		
0.02564	5s4d	1D	2	5s5p	1P	1
