fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
						
1.15E-03	1s3d	3D	3	1s6f	1F	3
1.22E-02	1s3d	3D	2	1s6f	1F	3
5.41E-02	1s3d	3D	1	1s6f	3F	2
1.47E-06	1s3d	1D	2	1s6f	3F	2
1.38E-02	1s3d	1D	2	1s6f	3F	3
						
4.03E-02	1s3d	1D	2	1s6f	1F	3
1.16E-03	1s3d	3D	2	1s6p	3P	1
1.55E-03	1s3d	3D	3	1s6p	3P	2
3.88E-04	1s3d	3D	2	1s6p	3P	2
8.62E-04	1s3d	3D	1	1s6p	3P	0
						
6.46E-04	1s3d	3D	1	1s6p	3P	1
4.31E-05	1s3d	3D	1	1s6p	3P	2
5.05E-02	1s3s	1S	0	1s5p	1P	1
5.63E-02	1s3p	1P	1	1s6d	1D	2
7.04E-03	1s3p	1P	1	1s6s	1S	0
						
1.91E-06	1s3p	3P	2	1s5d	1D	2
8.95E-06	1s3p	3P	1	1s5d	1D	2
1.25E-03	1s3p	3P	2	1s5d	3D	1
1.87E-02	1s3p	3P	2	1s5d	3D	2
1.05E-01	1s3p	3P	2	1s5d	3D	3
						
3.11E-02	1s3p	3P	1	1s5d	3D	1
9.34E-02	1s3p	3P	1	1s5d	3D	2
1.25E-01	1s3p	3P	0	1s5d	3D	1
5.57E-03	1s3s	3S	1	1s4p	3P	0
1.67E-02	1s3s	3S	1	1s4p	3P	1
						
2.78E-02	1s3s	3S	1	1s4p	3P	2
1.87E-03	1s3d	1D	2	1s5p	1P	1
3.56E-04	1s3d	3D	3	1s5f	3F	2
1.74E-02	1s3d	3D	2	1s5f	3F	2
1.44E-01	1s3d	3D	3	1s5f	3F	4
						
8.69E-03	1s3d	3D	3	1s5f	3F	3
9.95E-02	1s3d	3D	2	1s5f	3F	3
3.77E-03	1s3d	3D	3	1s5f	1F	3
4.01E-02	1s3d	3D	2	1s5f	1F	3
1.57E-01	1s3d	3D	1	1s5f	3F	2
						
4.25E-06	1s3d	1D	2	1s5f	3F	2
4.54E-02	1s3d	1D	2	1s5f	3F	3
1.12E-01	1s3d	1D	2	1s5f	1F	3
2.25E-02	1s3p	3P	2	1s5s	3S	1
2.25E-02	1s3p	3P	1	1s5s	3S	1
						
2.25E-02	1s3p	3P	0	1s5s	3S	1
1.41E-01	1s3p	1P	1	1s5d	1D	2
1.39E-05	1s3p	1P	1	1s5d	3D	2
2.30E-03	1s3d	3D	1	1s5p	3P	0
3.11E-03	1s3d	3D	2	1s5p	3P	1
						
4.14E-03	1s3d	3D	3	1s5p	3P	2
1.04E-03	1s3d	3D	2	1s5p	3P	2
1.73E-03	1s3d	3D	1	1s5p	3P	1
1.15E-04	1s3d	3D	1	1s5p	3P	2
1.85E-02	1s3p	1P	1	1s5s	1S	0
						
3.64E-04	1s4s	3S	1	1s10p	3P	0
1.09E-03	1s4s	3S	1	1s10p	3P	1
1.82E-03	1s4s	3S	1	1s10p	3P	2
5.23E-04	1s4s	3S	1	1s9p	3P	0
1.57E-03	1s4s	3S	1	1s9p	3P	1
						
2.62E-03	1s4s	3S	1	1s9p	3P	2
1.44E-01	1s3s	1S	0	1s4p	1P	1
6.51E-03	1s4s	1S	0	1s10p	1P	1
7.96E-04	1s4s	3S	1	1s8p	3P	0
2.39E-03	1s4s	3S	1	1s8p	3P	1
						
3.98E-03	1s4s	3S	1	1s8p	3P	2
9.55E-03	1s4s	1S	0	1s9p	1P	1
1.25E-04	1s4p	3P	2	1s10d	3D	1
1.87E-03	1s4p	3P	2	1s10d	3D	2
1.05E-02	1s4p	3P	2	1s10d	3D	3
						
3.12E-03	1s4p	3P	1	1s10d	3D	1
9.37E-03	1s4p	3P	1	1s10d	3D	2
1.25E-02	1s4p	3P	0	1s10d	3D	1
2.40E-03	1s4p	3P	2	1s10s	3S	1
2.40E-03	1s4p	3P	1	1s10s	3S	1
						
2.40E-03	1s4p	3P	0	1s10s	3S	1
9.31E-06	1s3p	3P	2	1s4d	1D	2
4.36E-05	1s3p	3P	1	1s4d	1D	2
4.78E-03	1s3p	3P	2	1s4d	3D	1
7.16E-02	1s3p	3P	2	1s4d	3D	2
						
4.01E-01	1s3p	3P	2	1s4d	3D	3
1.19E-01	1s3p	3P	1	1s4d	3D	1
3.58E-01	1s3p	3P	1	1s4d	3D	2
4.78E-01	1s3p	3P	0	1s4d	3D	1
3.80E-04	1s4d	1D	2	1s10p	1P	1
						
2.45E-04	1s4d	3D	3	1s10f	1F	3
3.16E-05	1s4d	3D	3	1s10f	3F	2
2.62E-03	1s4d	3D	2	1s10f	1F	3
1.28E-02	1s4d	3D	3	1s10f	3F	4
8.60E-04	1s4d	3D	3	1s10f	3F	3
						
1.55E-03	1s4d	3D	2	1s10f	3F	2
9.76E-03	1s4d	3D	2	1s10f	3F	3
1.39E-02	1s4d	3D	1	1s10f	3F	2
1.09E-02	1s4d	1D	2	1s10f	1F	3
2.95E-03	1s4d	1D	2	1s10f	3F	3
						
8.76E-05	1s4f	3F	3	1s10g	1G	4
3.57E-04	1s4f	3F	3	1s10g	3G	3
8.55E-03	1s4f	3F	3	1s10g	3G	4
2.10E-04	1s4f	3F	4	1s10g	1G	4
6.94E-06	1s4f	3F	4	1s10g	3G	3
						
8.55E-03	1s4f	3F	4	1s10g	3G	5
2.27E-04	1s4f	3F	4	1s10g	3G	4
8.99E-03	1s4f	3F	2	1s10g	3G	3
8.63E-03	1s4f	1F	3	1s10g	1G	4
2.05E-04	1s4f	1F	3	1s10g	3G	3
						
1.52E-04	1s4f	1F	3	1s10g	3G	4
3.54E-05	1s4f	3F	3	1s10d	1D	2
6.38E-05	1s4f	1F	3	1s10d	1D	2
5.74E-05	1s4f	3F	3	1s10d	3D	2
7.07E-06	1s4f	3F	3	1s10d	3D	3
						
1.00E-04	1s4f	3F	4	1s10d	3D	3
8.42E-05	1s4f	3F	2	1s10d	3D	1
1.56E-05	1s4f	3F	2	1s10d	3D	2
3.17E-05	1s4f	1F	3	1s10d	3D	2
4.06E-06	1s4f	1F	3	1s10d	3D	3
						
7.43E-04	1s4d	3D	3	1s10p	3P	2
5.57E-04	1s4d	3D	2	1s10p	3P	1
1.86E-04	1s4d	3D	2	1s10p	3P	2
4.13E-04	1s4d	3D	1	1s10p	3P	0
3.10E-04	1s4d	3D	1	1s10p	3P	1
						
2.06E-05	1s4d	3D	1	1s10p	3P	2
1.87E-04	1s4p	3P	2	1s9d	3D	1
2.81E-03	1s4p	3P	2	1s9d	3D	2
1.57E-02	1s4p	3P	2	1s9d	3D	3
4.68E-03	1s4p	3P	1	1s9d	3D	1
						
1.40E-02	1s4p	3P	1	1s9d	3D	2
1.87E-02	1s4p	3P	0	1s9d	3D	1
1.31E-03	1s4s	3S	1	1s7p	3P	0
3.93E-03	1s4s	3S	1	1s7p	3P	1
6.54E-03	1s4s	3S	1	1s7p	3P	2
						
1.34E-03	1s4p	1P	1	1s10d	1D	2
2.15E-03	1s4p	1P	1	1s10s	1S	0
1.50E-02	1s4s	1S	0	1s8p	1P	1
3.72E-03	1s4p	3P	2	1s9s	3S	1
3.72E-03	1s4p	3P	1	1s9s	3S	1
						
3.72E-03	1s4p	3P	0	1s9s	3S	1
5.88E-04	1s4d	1D	2	1s9p	1P	1
3.89E-04	1s4d	3D	3	1s9f	1F	3
4.17E-03	1s4d	3D	2	1s9f	1F	3
4.89E-05	1s4d	3D	3	1s9f	3F	2
						
1.98E-02	1s4d	3D	3	1s9f	3F	4
1.32E-03	1s4d	3D	3	1s9f	3F	3
2.40E-03	1s4d	3D	2	1s9f	3F	2
1.50E-02	1s4d	3D	2	1s9f	3F	3
2.16E-02	1s4d	3D	1	1s9f	3F	2
						
1.68E-02	1s4d	1D	2	1s9f	1F	3
4.71E-03	1s4d	1D	2	1s9f	3F	3
1.43E-04	1s4f	3F	3	1s9g	1G	4
5.79E-04	1s4f	3F	3	1s9g	3G	3
1.39E-02	1s4f	3F	3	1s9g	3G	4
						
3.40E-04	1s4f	3F	4	1s9g	1G	4
1.13E-05	1s4f	3F	4	1s9g	3G	3
1.39E-02	1s4f	3F	4	1s9g	3G	5
3.69E-04	1s4f	3F	4	1s9g	3G	4
1.46E-02	1s4f	3F	2	1s9g	3G	3
						
1.40E-02	1s4f	1F	3	1s9g	1G	4
3.33E-04	1s4f	1F	3	1s9g	3G	3
2.47E-04	1s4f	1F	3	1s9g	3G	4
5.62E-05	1s4f	3F	3	1s9d	1D	2
1.01E-04	1s4f	1F	3	1s9d	1D	2
						
9.11E-05	1s4f	3F	3	1s9d	3D	2
1.12E-05	1s4f	3F	3	1s9d	3D	3
1.59E-04	1s4f	3F	4	1s9d	3D	3
1.34E-04	1s4f	3F	2	1s9d	3D	1
2.47E-05	1s4f	3F	2	1s9d	3D	2
						
5.03E-05	1s4f	1F	3	1s9d	3D	2
6.45E-06	1s4f	1F	3	1s9d	3D	3
1.15E-03	1s4d	3D	3	1s9p	3P	2
8.64E-04	1s4d	3D	2	1s9p	3P	1
2.88E-04	1s4d	3D	2	1s9p	3P	2
						
6.40E-04	1s4d	3D	1	1s9p	3P	0
4.80E-04	1s4d	3D	1	1s9p	3P	1
3.20E-05	1s4d	3D	1	1s9p	3P	2
2.03E-02	1s4p	1P	1	1s9d	1D	2
3.31E-03	1s4p	1P	1	1s9s	1S	0
						
9.18E-03	1s3d	1D	2	1s4p	1P	1
3.03E-04	1s4p	3P	2	1s8d	3D	1
4.54E-03	1s4p	3P	2	1s8d	3D	2
2.54E-02	1s4p	3P	2	1s8d	3D	3
7.57E-03	1s4p	3P	1	1s8d	3D	1
						
2.27E-02	1s4p	3P	1	1s8d	3D	2
3.03E-02	1s4p	3P	0	1s8d	3D	1
2.94E-02	1s3d	3D	3	1s4f	1F	3
3.15E-01	1s3d	3D	2	1s4f	1F	3
2.30E-03	1s3d	3D	3	1s4f	3F	2
						
1.13E-01	1s3d	3D	2	1s4f	3F	2
9.32E-01	1s3d	3D	3	1s4f	3F	4
5.11E-02	1s3d	3D	3	1s4f	3F	3
5.87E-01	1s3d	3D	2	1s4f	3F	3
1.01E+00	1s3d	3D	1	1s4f	3F	2
						
6.59E-01	1s3d	1D	2	1s4f	1F	3
2.75E-05	1s3d	1D	2	1s4f	3F	2
3.56E-01	1s3d	1D	2	1s4f	3F	3
6.37E-03	1s4p	3P	2	1s8s	3S	1
6.37E-03	1s4p	3P	1	1s8s	3S	1
						
6.37E-03	1s4p	3P	0	1s8s	3S	1
6.48E-01	1s3p	1P	1	1s4d	1D	2
8.15E-05	1s3p	1P	1	1s4d	3D	2
9.99E-04	1s4d	1D	2	1s8p	1P	1
6.87E-04	1s4d	3D	3	1s8f	1F	3
						
7.36E-03	1s4d	3D	2	1s8f	1F	3
8.32E-05	1s4d	3D	3	1s8f	3F	2
3.37E-02	1s4d	3D	3	1s8f	3F	4
4.08E-03	1s4d	3D	2	1s8f	3F	2
2.23E-03	1s4d	3D	3	1s8f	3F	3
						
